,code,geom,box
0,S_k_150,"                                            geometry
0  POLYGON ((151.30754 -24.22143, 151.28785 -24.2...","{'lats': [-24.22142810101863, -24.22142682813902, -24.20336997922693, -24.20336870741539], 'lons': [151.30754406255647, 151.28785454995867, 151.28785454995867, 151.30754128777969]}"
1,S_k_1699,"                                            geometry
0  POLYGON ((151.77044 -28.73592, 151.74996 -28.7...","{'lats': [-28.735922330774773, -28.73592078069313, -28.717875332340995, -28.7178737834118], 'lons': [151.77043605100422, 151.74996219094433, 151.74996219094433, 151.7704325349536]}"
2,S_k_1700,"                                            geometry
0  POLYGON ((151.62204 -28.76722, 151.60156 -28.7...","{'lats': [-28.76722228846946, -28.76722073638811, -28.749175371638604, -28.74917382071038], 'lons': [151.6220391024899, 151.6015591366577, 151.6015591366577, 151.6220355808362]}"
3,S_k_1701,"                                            geometry
0  POLYGON ((151.94705 -28.84582, 151.92655 -28.8...","{'lats': [-28.845822182103994, -28.84582062499585, -28.827775470443452, -28.827773914490127], 'lons': [151.9470467868355, 151.92655144526267, 151.92655144526267, 151.94704325108003]}"
4,S_k_1702,"                                            geometry
0  POLYGON ((151.11953 -28.69212, 151.09907 -28.6...","{'lats': [-28.692122389925906, -28.692120842640595, -28.674075277395833, -28.67407373126204], 'lons': [151.11953178904773, 151.09906645681446, 151.09906645681446, 151.11952828082593]}"
5,S_k_1703,"                                            geometry
0  POLYGON ((151.26009 -28.23442, 151.23971 -28.2...","{'lats': [-28.23442300456876, -28.234421486368753, -28.21637470650221, -28.2163731894441], 'lons': [151.26008781885034, 151.23971046749796, 151.23971046749796, 151.26008439161745]}"
6,S_k_1704,"                                            geometry
0  POLYGON ((151.12829 -28.22902, 151.10791 -28.2...","{'lats': [-28.22902301178222, -28.229021493923902, -28.21097469980274, -28.2109731830862], 'lons': [151.12828730621212, 151.10791098060952, 151.10791098060952, 151.12828387992596]}"
7,S_k_1705,"                                            geometry
0  POLYGON ((151.65448 -28.18412, 151.63412 -28.1...","{'lats': [-28.184123071725985, -28.18412155670744, -28.16607464413069, -28.166073130252986], 'lons': [151.65448304921617, 151.63411524153642, 151.63411524153642, 151.65447963079367]}"
8,S_k_1706,"                                            geometry
0  POLYGON ((151.92261 -28.49222, 151.90219 -28.4...","{'lats': [-28.492222659153587, -28.49222112460158, -28.47417502732068, -28.47417349391596], 'lons': [151.92261245839057, 151.90218580524547, 151.90218580524547, 151.92260898572374]}"
9,S_k_1707,"                                            geometry
0  POLYGON ((151.68983 -28.63562, 151.66937 -28.6...","{'lats': [-28.635622466143005, -28.63562092246146, -28.61757520659916, -28.61757366406793], 'lons': [151.68982630537482, 151.6693719455255, 151.6693719455255, 151.6898228072314]}"
10,S_k_1710,"                                            geometry
0  POLYGON ((151.43194 -28.79852, 151.41146 -28.7...","{'lats': [-28.79852224613483, -28.798520692052595, -28.78047541096377, -28.780473858035347], 'lons': [151.4319421588514, 151.41145607749166, 151.41145607749166, 151.43193863158749]}"
11,S_k_1711,"                                            geometry
0  POLYGON ((151.36374 -28.81132, 151.34325 -28.8...","{'lats': [-28.81132222881383, -28.811320673913023, -28.793275427053576, -28.793273873306845], 'lons': [151.36374341014334, 151.34325482505182, 151.34325482505184, 151.36373988058318]}"
12,S_k_1712,"                                            geometry
0  POLYGON ((151.27145 -25.49473, 151.25155 -25.4...","{'lats': [-25.494726543691872, -25.4947251947373, -25.476671422037715, -25.476670074172674], 'lons': [151.27144533802274, 151.25155317618191, 151.25155317618191, 151.27144236659015]}"
13,S_k_1715,"                                            geometry
0  POLYGON ((151.10016 -25.65783, 151.08024 -25.6...","{'lats': [-25.65782634004642, -25.65782498123505, -25.639771610847898, -25.639770253128937], 'lons': [151.10015881761672, 151.08023968366874, 151.08023968366874, 151.1001558203411]}"
14,S_k_1716,"                                            geometry
0  POLYGON ((151.08146 -25.63363, 151.06154 -25.6...","{'lats': [-25.633626370320926, -25.63362501297372, -25.615571582777033, -25.615570226521807], 'lons': [151.08145681018036, 151.0615416930268, 151.0615416930268, 151.08145381674882]}"
15,S_k_1717,"                                            geometry
0  POLYGON ((151.43836 -25.67453, 151.41844 -25.6...","{'lats': [-25.674526319142643, -25.674524959320543, -25.65647163023049, -25.6564702715011], 'lons': [151.43836020442038, 151.4184382955379, 151.4184382955379, 151.43835720448993]}"
16,S_k_1718,"                                            geometry
0  POLYGON ((150.93066 -25.67623, 150.91074 -25.6...","{'lats': [-25.67622631701416, -25.676224957089143, -25.65817163220407, -25.658170273371805], 'lons': [150.93066034566107, 150.91073815416212, 150.91073815416212, 150.93065734546028]}"
17,S_k_1721,"                                            geometry
0  POLYGON ((150.90303 -25.28583, 150.88317 -25.2...","{'lats': [-25.285826803162045, -25.28582546679411, -25.26777118151216, -25.26776984623012], 'lons': [150.90302824355524, 150.8831702870853, 150.8831702870853, 150.90302530500048]}"
18,S_k_1722,"                                            geometry
0  POLYGON ((148.81584 -21.30103, 148.79656 -21.3...","{'lats': [-21.301031442449215, -21.30103033869451, -21.28296689249024, -21.28296578976046], 'lons': [148.81583698946218, 148.79656183315902, 148.79656183315902, 148.81583463496514]}"
19,S_k_1727,"                                            geometry
0  POLYGON ((148.38558 -20.39393, 148.36642 -20.3...","{'lats': [-20.39393241095832, -20.39393135837336, -20.375866001070047, -20.375864949498204], 'lons': [148.38557942678517, 148.36641945725, 148.36641945725, 148.3855771951339]}"
20,S_k_1728,"                                            geometry
0  POLYGON ((148.35958 -20.41593, 148.34042 -20.4...","{'lats': [-20.415932387874207, -20.41593133405524, -20.397866022294924, -20.39786496948935], 'lons': [148.35958078645572, 148.34041809610957, 148.34041809610957, 148.35957855186427]}"
21,S_k_1729,"                                            geometry
0  POLYGON ((151.87385 -28.85092, 151.85335 -28.8...","{'lats': [-28.85092217519605, -28.85092061776148, -28.832875476860444, -28.832873920580802], 'lons': [151.87384728650267, 151.85335094513735, 151.85335094513735, 151.87384374983068]}"
22,S_k_1730,"                                            geometry
0  POLYGON ((152.06009 -28.27742, 152.03971 -28.2...","{'lats': [-28.277422947096262, -28.277421426174207, -28.25937475988008, -28.2593732401008], 'lons': [152.06009190604092, 152.03970637653532, 152.03970637653532, 152.06008847126236]}"
23,S_k_1731,"                                            geometry
0  POLYGON ((151.12261 -27.35402, 151.10239 -27.3...","{'lats': [-27.354024168596414, -27.354022705665407, -27.335973625620166, -27.335972163813246], 'lons': [151.12260609410563, 151.10239226808355, 151.10239226808355, 151.1226028185847]}"
24,S_k_1732,"                                            geometry
0  POLYGON ((151.52337 -26.99802, 151.50322 -26.9...","{'lats': [-26.99802463226694, -26.99802319144008, -26.979973195206984, -26.979971755497292], 'lons': [151.52337409027677, 151.5032243018495, 151.5032243018495, 151.52337087464184]}"
25,S_k_1733,"                                            geometry
0  POLYGON ((151.61853 -27.63302, 151.59827 -27.6...","{'lats': [-27.633023802361674, -27.633022322010262, -27.614973965646335, -27.614972486424556], 'lons': [151.61853159207735, 151.59826674636025, 151.59826674636025, 151.618528269044]}"
26,S_k_1734,"                                            geometry
0  POLYGON ((152.94003 -27.58382, 152.91977 -27.5...","{'lats': [-27.583823867125318, -27.583822389852173, -27.56577390551376, -27.56577242936925], 'lons': [152.9400270688899, 152.91977127375498, 152.91977127375498, 152.94002375427254]}"
27,S_k_1736,"                                            geometry
0  POLYGON ((153.13042 -27.52002, 153.11018 -27.5...","{'lats': [-27.52002395099278, -27.520022477707347, -27.501973827645642, -27.501972355487585], 'lons': [153.13042122056316, 153.11017712752525, 153.11017712752525, 153.13041791683534]}"
28,S_k_1737,"                                            geometry
0  POLYGON ((153.05930 -27.32262, 153.03910 -27.3...","{'lats': [-27.32262420965813, -27.322622748682317, -27.304573587500094, -27.304572127647756], 'lons': [153.0593032474412, 153.03909511740505, 153.03909511740505, 153.0592999772354]}"
29,S_k_1738,"                                            geometry
0  POLYGON ((153.00611 -27.38442, 152.98589 -27.3...","{'lats': [-27.38442412881218, -27.38442266398722, -27.366373662554903, -27.366372198854624], 'lons': [153.006108854531, 152.9858895050826, 152.9858895050826, 153.006105573858]}"
30,S_k_1739,"                                            geometry
0  POLYGON ((153.09982 -27.52012, 153.07958 -27.5...","{'lats': [-27.52012395086143, -27.52012247756975, -27.502073827767592, -27.502072355603286], 'lons': [153.09982122971476, 153.0795771183652, 153.07957711836522, 153.09981792596992]}"
31,S_k_1740,"                                            geometry
0  POLYGON ((152.76352 -27.55972, 152.74327 -27.5...","{'lats': [-27.5597238988209, -27.55972242305462, -27.541673876085184, -27.541672401447066], 'lons': [152.76352485745753, 152.74327348724518, 152.74327348724518, 152.7635215469568]}"
32,S_k_1743,"                                            geometry
0  POLYGON ((153.16182 -27.54052, 153.14158 -27.5...","{'lats': [-27.5405239240589, -27.54052244949264, -27.522473852652542, -27.522472379214065], 'lons': [153.16182309762394, 153.1415752487169, 153.1415752487169, 153.16181979040005]}"
