,code,geom,box
23,S_k_63,"                                            geometry
0  POLYGON ((139.23495 -34.94121, 139.21305 -34.9...","{'lats': [-34.94121343582764, -34.94121146317498, -34.92318359211698, -34.92318162077838], 'lons': [139.2349453013645, 139.21305230397277, 139.21305230397277, 139.23494051179267]}"
24,S_k_64,"                                            geometry
0  POLYGON ((139.28026 -35.03061, 139.25834 -35.0...","{'lats': [-35.03061330122294, -35.03061132204612, -35.012583716921064, -35.01258173906111], 'lons': [139.28025720205378, 139.25834039271624, 139.25834039271624, 139.28025239134192]}"
25,S_k_69,"                                            geometry
0  POLYGON ((139.10787 -35.13741, 139.08593 -35.1...","{'lats': [-35.13741314021888, -35.13741115322965, -35.11938386618961, -35.11938188052063], 'lons': [139.10787148808538, 139.08592609400003, 139.08592609400006, 139.10786665199763]}"
26,S_k_70,"                                            geometry
0  POLYGON ((139.08567 -35.13141, 139.06373 -35.1...","{'lats': [-35.131413149269825, -35.13141116272003, -35.11338385779876, -35.11338187256903], 'lons': [139.08567068349865, 139.0637268993011, 139.0637268993011, 139.08566584883997]}"
27,S_k_71,"                                            geometry
0  POLYGON ((139.03521 -35.39991, 139.01319 -35.3...","{'lats': [-35.39991274357509, -35.399910737297816, -35.381884233860525, -35.381882228911884], 'lons': [139.03520692332637, 139.01319062729763, 139.01319062729763, 139.03520202429922]}"
28,S_k_72,"                                            geometry
0  POLYGON ((138.98241 -35.41121, 138.96039 -35.4...","{'lats': [-35.411212726471604, -35.41121071936124, -35.39318424971269, -35.39318224393135], 'lons': [138.98240845907378, 138.9603890901867, 138.9603890901867, 138.98240355731892]}"
29,S_k_73,"                                            geometry
0  POLYGON ((139.06529 -35.30501, 139.04330 -35.3...","{'lats': [-35.30501288712049, -35.30501088783052, -35.286984100810706, -35.28698210284632], 'lons': [139.0652940595566, 139.04330350248836, 139.04330350248836, 139.06528918337747]}"
30,S_k_74,"                                            geometry
0  POLYGON ((139.88897 -35.89031, 139.86682 -35.8...","{'lats': [-35.890311999169604, -35.890309956524426, -35.87228492364109, -35.87228288234062], 'lons': [139.88897436747683, 139.86682312326468, 139.86682312326468, 139.8889693486527]}"
31,S_k_75,"                                            geometry
0  POLYGON ((139.87238 -35.18101, 139.85042 -35.1...","{'lats': [-35.18101307442814, -35.18101108424376, -35.16298392718079, -35.16298193831805], 'lons': [139.8723773419203, 139.8504202349676, 139.8504202349676, 139.87237249543477]}"
32,S_k_77,"                                            geometry
0  POLYGON ((139.02277 -35.13161, 139.00083 -35.1...","{'lats': [-35.131613148968135, -35.13161116240368, -35.11358385807843, -35.11358187283405], 'lons': [139.02277071031435, 139.00082687246157, 139.00082687246157, 139.02276587560806]}"
33,S_k_81,"                                            geometry
0  POLYGON ((139.04977 -35.13451, 139.02783 -35.1...","{'lats': [-35.13451314459359, -35.13451115781676, -35.11648386213397, -35.1164818766773], 'lons': [139.049771099172, 139.02782648325868, 139.02782648325868, 139.04976626377496]}"
34,S_k_82,"                                            geometry
0  POLYGON ((139.40880 -35.32761, 139.38680 -35.3...","{'lats': [-35.32761285295105, -35.32761085199855, -35.309584132482875, -35.309582132856704], 'lons': [139.4087971175336, 139.3868004417963, 139.3868004417963, 139.408792235923]}"
