,project,site,lat,long,Granule Number
296,LIMA,k_220,-43.1251,146.7528,3
297,LIMA,k_221,-42.8834,146.7785,4
298,LIRA,k_222,-43.1374,146.7893,3
299,LIRA,k_223,-43.1205,146.7897,3
300,LIMA,k_224,-42.7596,146.8023,2
301,LIMA,k_225,-43.1488,146.8052,3
302,LIRA,k_226,-43.2398,146.8139,1
303,LIRA,k_227,-43.2438,146.8162,1
304,LIRA,k_228,-43.2448,146.8167,2
305,LIRE,k_229,-42.9443,146.8608,4
306,LIRA,k_230,-43.2545,146.9273,1
307,LIMI,k_231,-43.2645,146.93,1
308,LIRE,k_232,-43.3198,146.9589,1
309,LIRE,k_233,-42.9203,146.9719,4
310,LIRE,k_234,-42.9155,146.9762,4
311,LIRE,k_235,-42.9148,147.0416,3
312,LIRE,k_236,-41.3907,147.362,2
313,LIRE,k_237,-41.3938,147.3625,2
314,LIRE,k_238,-41.3921,147.3649,2
315,LIRE,k_239,-41.3962,147.3673,2
316,LIRE,k_240,-41.3511,147.5202,1
317,LIRE,k_241,-41.3517,147.5212,1
318,LIRE,k_242,-41.353,147.5222,1
319,Ausplot Forest Monitoring Network,k_243,-41.3671,147.6032,3
320,LIPL,k_244,-42.4391,147.7789,3
321,LIPL,k_245,-42.7232,147.8451,5
322,LIMI,k_246,-42.7245,147.8632,4
