,code,geom,box
0,S_k_9456,"                                            geometry
0  POLYGON ((148.17542 -41.19530, 148.15158 -41.1...","{'lats': [-41.19530371991816, -41.19530125213205, -41.17729256465862, -41.17729009842705], 'lons': [148.1754192582635, 148.15157747603044, 148.15157747603044, 148.175412726096]}"
1,S_k_9468,"                                            geometry
0  POLYGON ((147.73081 -41.67290, 147.70679 -41.6...","{'lats': [-41.67290295953143, -41.67290045021113, -41.654893262721565, -41.654890754978496], 'lons': [147.73080691984984, 147.70678973478616, 147.70678973478616, 147.73080022831476]}"
2,S_k_9477,"                                            geometry
0  POLYGON ((146.47655 -42.45260, 146.45224 -42.4...","{'lats': [-42.452601714836504, -42.45259913637913, -42.43459440368308, -42.43459182684158], 'lons': [146.47655467865144, 146.45224184104742, 146.45224184104742, 146.47654771715233]}"
3,S_k_9481,"                                            geometry
0  POLYGON ((146.52887 -42.55540, 146.50452 -42.5...","{'lats': [-42.55540155045885, -42.55539896275909, -42.53739455419429, -42.537391968115664], 'lons': [146.52887460179525, 146.504521899642, 146.504521899642, 146.52886760376086]}"
4,S_k_9485,"                                            geometry
0  POLYGON ((146.81452 -42.76860, 146.79008 -42.7...","{'lats': [-42.76860120937358, -42.768598602409156, -42.750594866377284, -42.750592261044986], 'lons': [146.81451625630558, 146.79008020689807, 146.79008020689807, 146.81450918177802]}"
5,S_k_9493,"                                            geometry
0  POLYGON ((147.93666 -41.95750, 147.91254 -41.9...","{'lats': [-41.95750250564846, -41.95749997128685, -41.939493679031145, -41.93949114626065], 'lons': [147.9366601755167, 147.9125364305842, 147.9125364305842, 147.93665338687921]}"
6,S_k_9500,"                                            geometry
0  POLYGON ((146.61577 -42.52700, 146.59143 -42.5...","{'lats': [-42.52700159587631, -42.5269990107329, -42.50899451261215, -42.508991929088424], 'lons': [146.61576908727073, 146.59142741922275, 146.59142741922275, 146.6157620993522]}"
7,S_k_9511,"                                            geometry
0  POLYGON ((147.70955 -41.90140, 147.68545 -41.9...","{'lats': [-41.90140259516008, -41.901400065752064, -41.883393596952075, -41.883391069132415], 'lons': [147.7095496168052, 147.68544699892715, 147.68544699892715, 147.70954284743715]}"
8,S_k_9512,"                                            geometry
0  POLYGON ((148.15844 -41.87440, 148.13435 -41.8...","{'lats': [-41.87440263823319, -41.87440011120618, -41.856393557451504, -41.85639103201152], 'lons': [148.1584445457952, 148.13435207456138, 148.13435207456138, 148.1584377856786]}"
9,S_k_9517,"                                            geometry
0  POLYGON ((147.76408 -42.08100, 147.73991 -42.0...","{'lats': [-42.081002308524084, -42.08099976322697, -42.06299385974777, -42.06299131604788], 'lons': [147.7640835261737, 147.73991305861136, 147.73991305861136, 147.76407669489055]}"
