project,site,geom,longitude,latitude
Victorian Forest Monitoring Program,S_k_601,POINT (144.41233874245327 -37.43112604213113),144.4123,-37.4311
Victorian Forest Monitoring Program,S_k_602,POINT (144.4179173889837 -36.71019603135624),144.4179,-36.7102
Victorian Forest Monitoring Program,S_k_603,POINT (144.43420959540072 -37.53936053601413),144.4342,-37.5394
Victorian Forest Monitoring Program,S_k_604,POINT (144.4388730377558 -36.90854699659534),144.4389,-36.9085
Victorian Forest Monitoring Program,S_k_605,POINT (144.44571907875203 -35.95323838016246),144.4457,-35.9532
Victorian Forest Monitoring Program,S_k_606,POINT (144.5473368586421 -37.539855461373065),144.5473,-37.5399
Victorian Forest Monitoring Program,S_k_607,POINT (144.77580487611513 -36.81954057221465),144.7758,-36.8195
Victorian Forest Monitoring Program,S_k_608,POINT (144.8667778929361 -36.06256649529008),144.8668,-36.0626
Victorian Forest Monitoring Program,S_k_609,POINT (144.955248726334 -36.71155894810791),144.9552,-36.7116
Victorian Forest Monitoring Program,S_k_610,POINT (144.9555890243539 -35.99058654983344),144.9556,-35.9906
Victorian Forest Monitoring Program,S_k_611,POINT (144.97781831377455 -35.9005143114274),144.9778,-35.9005
Victorian Forest Monitoring Program,S_k_612,POINT (145.0443272920224 -35.900534511295504),145.0443,-35.9005
Victorian Forest Monitoring Program,S_k_613,POINT (145.1106736028928 -35.846346612822984),145.1107,-35.8463
Victorian Forest Monitoring Program,S_k_614,POINT (145.1809100421909 -37.46855044879186),145.1809,-37.4686
Victorian Forest Monitoring Program,S_k_615,POINT (145.1806016218065 -37.360340459288935),145.1806,-37.3603
Victorian Forest Monitoring Program,S_k_616,POINT (145.24354296162153 -35.84619030333666),145.2435,-35.8462
Victorian Forest Monitoring Program,S_k_617,POINT (145.31701556743508 -37.576376087300446),145.317,-37.5764
Victorian Forest Monitoring Program,S_k_618,POINT (145.53100517811058 -35.809092984944606),145.531,-35.8091
Victorian Forest Monitoring Program,S_k_619,POINT (145.58948759274725 -37.683359538973136),145.5895,-37.6834
Victorian Forest Monitoring Program,S_k_620,POINT (145.58859760020928 -37.57520470905334),145.5886,-37.5752
Victorian Forest Monitoring Program,S_k_621,POINT (145.58706709295356 -37.359045701137696),145.5871,-37.359
Victorian Forest Monitoring Program,S_k_622,POINT (145.64260247390334 -35.89862943203095),145.6426,-35.8986
Victorian Forest Monitoring Program,S_k_623,POINT (145.79310405422763 -37.6281981709803),145.7931,-37.6282
Victorian Forest Monitoring Program,S_k_624,POINT (145.7919512550422 -37.520066009027474),145.792,-37.5201
Victorian Forest Monitoring Program,S_k_625,POINT (145.79028828841422 -37.35784688503499),145.7903,-37.3578
Victorian Forest Monitoring Program,S_k_626,POINT (145.79848146628046 -35.98792014119511),145.7985,-35.9879
Victorian Forest Monitoring Program,S_k_627,POINT (145.85880337706507 -37.42948095433118),145.8588,-37.4295
Victorian Forest Monitoring Program,S_k_628,POINT (145.85811110427477 -37.35743953334701),145.8581,-37.3574
Victorian Forest Monitoring Program,S_k_629,POINT (145.94920941726554 -37.428759952661665),145.9492,-37.4288
Victorian Forest Monitoring Program,S_k_630,POINT (145.93883996019864 -36.5997599099305),145.9388,-36.5998
Victorian Forest Monitoring Program,S_k_631,POINT (145.9955921590191 -37.51846740583094),145.9956,-37.5185
Victorian Forest Monitoring Program,S_k_632,POINT (146.04256129087818 -37.64426741533039),146.0426,-37.6443
Victorian Forest Monitoring Program,S_k_633,POINT (146.12227372281058 -36.9045540698321),146.1223,-36.9046
Victorian Forest Monitoring Program,S_k_634,POINT (146.20430486286597 -37.84103495065196),146.2043,-37.841
Victorian Forest Monitoring Program,S_k_635,POINT (146.22275058529692 -37.57053859747773),146.2228,-37.5705
Victorian Forest Monitoring Program,S_k_636,POINT (146.22149574262448 -37.49847723019839),146.2215,-37.4985
Victorian Forest Monitoring Program,S_k_637,POINT (146.20885733397643 -36.705455391978035),146.2089,-36.7055
Victorian Forest Monitoring Program,S_k_638,POINT (146.20322611676045 -36.34493925986443),146.2032,-36.3449
Victorian Forest Monitoring Program,S_k_639,POINT (146.20097461246903 -36.200761088762455),146.201,-36.2008
Victorian Forest Monitoring Program,S_k_640,POINT (146.29253952670584 -39.011096363034355),146.2925,-39.0111
Victorian Forest Monitoring Program,S_k_641,POINT (146.33860592670874 -39.01059165995461),146.3386,-39.0106
Victorian Forest Monitoring Program,S_k_642,POINT (146.33677180319006 -38.902625914552445),146.3368,-38.9026
Victorian Forest Monitoring Program,S_k_643,POINT (146.31443317345125 -37.64167206200284),146.3144,-37.6417
Victorian Forest Monitoring Program,S_k_644,POINT (146.31071371715691 -37.42541782921819),146.3107,-37.4254
Victorian Forest Monitoring Program,S_k_645,POINT (146.382871646231 -38.90211271459904),146.3829,-38.9021
Victorian Forest Monitoring Program,S_k_646,POINT (146.41192389842786 -38.001044083814584),146.4119,-38.001
Victorian Forest Monitoring Program,S_k_647,POINT (146.40585256168103 -37.67666178585029),146.4059,-37.6767
Victorian Forest Monitoring Program,S_k_648,POINT (146.40108216945055 -37.42435988306769),146.4011,-37.4244
Victorian Forest Monitoring Program,S_k_649,POINT (146.39967878190936 -37.35235127947541),146.3997,-37.3524
Victorian Forest Monitoring Program,S_k_650,POINT (146.39462565295878 -37.06389632201243),146.3946,-37.0639
Victorian Forest Monitoring Program,S_k_651,POINT (146.39311850956858 -36.99181070124256),146.3931,-36.9918
Victorian Forest Monitoring Program,S_k_652,POINT (146.47498926935842 -38.90103132876118),146.475,-38.901
Victorian Forest Monitoring Program,S_k_653,POINT (146.49702888717673 -37.71166982519655),146.497,-37.7117
Victorian Forest Monitoring Program,S_k_654,POINT (146.49572441017892 -37.639584823800085),146.4957,-37.6396
Victorian Forest Monitoring Program,S_k_655,POINT (146.4942974676051 -37.567444333850275),146.4943,-37.5674
Victorian Forest Monitoring Program,S_k_656,POINT (146.55739237501274 -38.431604968833895),146.5574,-38.4316
Victorian Forest Monitoring Program,S_k_657,POINT (146.5266509875433 -36.91809445773562),146.5267,-36.9181
Victorian Forest Monitoring Program,S_k_658,POINT (146.55969852856867 -36.340798203368365),146.5597,-36.3408
Victorian Forest Monitoring Program,S_k_659,POINT (146.55740103629898 -36.23268569207731),146.5574,-36.2327
Victorian Forest Monitoring Program,S_k_660,POINT (146.6168198150549 -37.99837516637061),146.6168,-37.9984
Victorian Forest Monitoring Program,S_k_661,POINT (146.61331890553612 -37.83621124925327),146.6133,-37.8362
Victorian Forest Monitoring Program,S_k_662,POINT (146.6097620816667 -37.67406064671935),146.6098,-37.6741
Victorian Forest Monitoring Program,S_k_663,POINT (146.60276926613295 -36.26805044512599),146.6028,-36.2681
Victorian Forest Monitoring Program,S_k_664,POINT (146.677793524302 -37.673148463190145),146.6778,-37.6731
Victorian Forest Monitoring Program,S_k_665,POINT (146.67541757367064 -37.565043676189134),146.6754,-37.565
Victorian Forest Monitoring Program,S_k_666,POINT (146.6479325845539 -36.303577602704586),146.6479,-36.3036
Victorian Forest Monitoring Program,S_k_667,POINT (146.64720401687518 -36.2674865615811),146.6472,-36.2675
Victorian Forest Monitoring Program,S_k_668,POINT (146.6792525432767 -36.71782986104901),146.6793,-36.7178
Victorian Forest Monitoring Program,S_k_669,POINT (146.7422605998872 -38.50110943920053),146.7423,-38.5011
Victorian Forest Monitoring Program,S_k_670,POINT (146.6973081766136 -36.519169114721535),146.6973,-36.5192
Victorian Forest Monitoring Program,S_k_671,POINT (146.69652191860794 -36.48310651713348),146.6965,-36.4831
Victorian Forest Monitoring Program,S_k_672,POINT (146.69091229776689 -36.230752020800566),146.6909,-36.2308
Victorian Forest Monitoring Program,S_k_673,POINT (146.78631867835904 -38.428388784839825),146.7863,-38.4284
Victorian Forest Monitoring Program,S_k_674,POINT (146.78468777888796 -38.3563776704861),146.7847,-38.3564
Victorian Forest Monitoring Program,S_k_675,POINT (146.78377598858427 -38.3204346832132),146.7838,-38.3204
Victorian Forest Monitoring Program,S_k_676,POINT (146.8313832210639 -38.39179140510222),146.8314,-38.3918
Victorian Forest Monitoring Program,S_k_677,POINT (146.82951413391652 -38.3196719294788),146.8295,-38.3197
Victorian Forest Monitoring Program,S_k_678,POINT (146.78919581721962 -36.62601506802498),146.7892,-36.626
Victorian Forest Monitoring Program,S_k_679,POINT (146.78659684184345 -36.517856746384155),146.7866,-36.5179
Victorian Forest Monitoring Program,S_k_680,POINT (146.78579144640938 -36.48182166575295),146.7858,-36.4818
Victorian Forest Monitoring Program,S_k_681,POINT (146.87800988904408 -38.427051108576684),146.878,-38.4271
Victorian Forest Monitoring Program,S_k_682,POINT (146.87708553078213 -38.391100214842325),146.8771,-38.3911
Victorian Forest Monitoring Program,S_k_683,POINT (146.83211171468346 -36.55316960879544),146.8321,-36.5532
Victorian Forest Monitoring Program,S_k_684,POINT (146.8278844586838 -36.37296710795527),146.8279,-36.373
Victorian Forest Monitoring Program,S_k_685,POINT (146.8768085083802 -36.55247591012147),146.8768,-36.5525
Victorian Forest Monitoring Program,S_k_686,POINT (146.8697594626772 -36.26416747612684),146.8698,-36.2642
Victorian Forest Monitoring Program,S_k_687,POINT (146.9234724579964 -37.52521935328989),146.9235,-37.5252
Victorian Forest Monitoring Program,S_k_688,POINT (146.96384797198306 -38.209513400158464),146.9638,-38.2095
Victorian Forest Monitoring Program,S_k_689,POINT (146.9214039420658 -36.55180145004461),146.9214,-36.5518
Victorian Forest Monitoring Program,S_k_690,POINT (146.92030125061652 -36.515722146720464),146.9203,-36.5157
Victorian Forest Monitoring Program,S_k_691,POINT (146.91322852299268 -36.227342242651616),146.9132,-36.2273
Victorian Forest Monitoring Program,S_k_692,POINT (146.96706718567867 -36.58710784074573),146.9671,-36.5871
Victorian Forest Monitoring Program,S_k_693,POINT (146.96336797613492 -36.44284607895181),146.9634,-36.4428
Victorian Forest Monitoring Program,S_k_694,POINT (147.01785879615778 -37.66785469163226),147.0179,-37.6679
Victorian Forest Monitoring Program,S_k_695,POINT (146.99208556318527 -36.69479600762891),146.9921,-36.6948
Victorian Forest Monitoring Program,S_k_696,POINT (146.98786832398017 -36.53258845853934),146.9879,-36.5326
Victorian Forest Monitoring Program,S_k_697,POINT (147.07699657663767 -37.342528045643455),147.077,-37.3425
Victorian Forest Monitoring Program,S_k_698,POINT (147.20805107417513 -37.19581148071346),147.2081,-37.1958
Victorian Forest Monitoring Program,S_k_699,POINT (147.18902689952418 -36.52922087975337),147.189,-36.5292
Victorian Forest Monitoring Program,S_k_700,POINT (147.1844422609306 -36.36694447562256),147.1844,-36.3669
Victorian Forest Monitoring Program,S_k_701,POINT (147.24408082620857 -36.888642099092976),147.2441,-36.8886
Victorian Forest Monitoring Program,S_k_702,POINT (147.29392304279463 -37.050041050306945),147.2939,-37.05
Victorian Forest Monitoring Program,S_k_703,POINT (147.38154600865957 -37.69731644029688),147.3815,-37.6973
Victorian Forest Monitoring Program,S_k_704,POINT (147.37878502264792 -37.60714644272946),147.3788,-37.6071
Victorian Forest Monitoring Program,S_k_705,POINT (147.35629676488287 -36.88650162154131),147.3563,-36.8865
Victorian Forest Monitoring Program,S_k_706,POINT (147.39075307924045 -37.264379140830286),147.3908,-37.2644
Victorian Forest Monitoring Program,S_k_707,POINT (147.38828570753904 -37.19232012316121),147.3883,-37.1923
Victorian Forest Monitoring Program,S_k_708,POINT (147.37262758478178 -36.687947864574284),147.3726,-36.6879
Victorian Forest Monitoring Program,S_k_709,POINT (147.38987333523733 -36.525136437595556),147.3899,-36.5251
Victorian Forest Monitoring Program,S_k_710,POINT (147.49365854906748 -37.65893632720767),147.4937,-37.6589
Victorian Forest Monitoring Program,S_k_711,POINT (147.47857096581927 -37.1905565878529),147.4786,-37.1906
Victorian Forest Monitoring Program,S_k_712,POINT (147.46553469018613 -36.794093946917734),147.4655,-36.7941
Victorian Forest Monitoring Program,S_k_713,POINT (147.44166971481766 -36.03731980968206),147.4417,-36.0373
Victorian Forest Monitoring Program,S_k_714,POINT (147.57336649734538 -37.33268171187143),147.5734,-37.3327
Victorian Forest Monitoring Program,S_k_715,POINT (147.5685847407422 -36.52138033182251),147.5686,-36.5214
Victorian Forest Monitoring Program,S_k_716,POINT (147.6296948990866 -37.65608932473307),147.6297,-37.6561
Victorian Forest Monitoring Program,S_k_717,POINT (147.5962878587159 -36.6830894070274),147.5963,-36.6831
Victorian Forest Monitoring Program,S_k_718,POINT (147.58543450983865 -36.35887304560004),147.5854,-36.3589
Victorian Forest Monitoring Program,S_k_719,POINT (147.68654336456618 -37.979258386373246),147.6865,-37.9793
Victorian Forest Monitoring Program,S_k_720,POINT (147.63120332481267 -36.39382639939349),147.6312,-36.3938
Victorian Forest Monitoring Program,S_k_721,POINT (147.76561502552678 -37.65296002825064),147.7656,-37.653
Victorian Forest Monitoring Program,S_k_722,POINT (147.73030021152593 -36.68004415767872),147.7303,-36.68
Victorian Forest Monitoring Program,S_k_723,POINT (147.71514756184234 -36.24756767722861),147.7151,-36.2476
Victorian Forest Monitoring Program,S_k_724,POINT (147.78578936410636 -36.35413534052549),147.7858,-36.3541
Victorian Forest Monitoring Program,S_k_725,POINT (147.79634671667995 -36.029295067491944),147.7963,-36.0293
Victorian Forest Monitoring Program,S_k_726,POINT (147.90173600042095 -37.64966359389052),147.9017,-37.6497
Victorian Forest Monitoring Program,S_k_727,POINT (147.8769370213289 -37.001228242272276),147.8769,-37.0012
Victorian Forest Monitoring Program,S_k_728,POINT (147.93143798989524 -37.25233720175765),147.9314,-37.2523
Victorian Forest Monitoring Program,S_k_729,POINT (147.92876187527523 -37.18032911597648),147.9288,-37.1803
Victorian Forest Monitoring Program,S_k_730,POINT (147.91500549610006 -36.82007910392106),147.915,-36.8201
Victorian Forest Monitoring Program,S_k_731,POINT (147.90944350410788 -36.675745747242544),147.9094,-36.6757
Victorian Forest Monitoring Program,S_k_732,POINT (147.90678635913238 -36.60375699288524),147.9068,-36.6038
Victorian Forest Monitoring Program,S_k_733,POINT (147.88774601602475 -36.09929879925981),147.8877,-36.0993
Victorian Forest Monitoring Program,S_k_734,POINT (148.04183618169935 -37.75433981411565),148.0418,-37.7543
Victorian Forest Monitoring Program,S_k_735,POINT (148.0374806541524 -37.64634861639089),148.0375,-37.6463
Victorian Forest Monitoring Program,S_k_736,POINT (148.01881777915023 -37.17795744646487),148.0188,-37.178
Victorian Forest Monitoring Program,S_k_737,POINT (148.0159404620129 -37.10604280996242),148.0159,-37.106
Victorian Forest Monitoring Program,S_k_738,POINT (148.00464949532065 -36.81771485827741),148.0046,-36.8177
Victorian Forest Monitoring Program,S_k_739,POINT (148.00179347092447 -36.74562401038229),148.0018,-36.7456
Victorian Forest Monitoring Program,S_k_740,POINT (147.99898911996453 -36.673531775693434),147.999,-36.6735
Victorian Forest Monitoring Program,S_k_741,POINT (147.99618212878457 -36.60157383275832),147.9962,-36.6016
Victorian Forest Monitoring Program,S_k_742,POINT (147.99335772714554 -36.52947085244558),147.9934,-36.5295
Victorian Forest Monitoring Program,S_k_743,POINT (147.98007544432983 -36.18715469247276),147.9801,-36.1872
Victorian Forest Monitoring Program,S_k_744,POINT (147.97933938770504 -36.16912115616891),147.9793,-36.1691
Victorian Forest Monitoring Program,S_k_745,POINT (148.06522177573046 -37.771841042648816),148.0652,-37.7718
Victorian Forest Monitoring Program,S_k_746,POINT (148.03271531144617 -36.96120559210259),148.0327,-36.9612
Victorian Forest Monitoring Program,S_k_747,POINT (148.02913434588265 -36.87114928513326),148.0291,-36.8711
Victorian Forest Monitoring Program,S_k_748,POINT (148.0255859948056 -36.78103712196683),148.0256,-36.781
Victorian Forest Monitoring Program,S_k_749,POINT (148.10593687682285 -37.10354289408501),148.1059,-37.1035
Victorian Forest Monitoring Program,S_k_750,POINT (148.17343453109362 -37.64278524502259),148.1734,-37.6428
Victorian Forest Monitoring Program,S_k_751,POINT (148.159876673587 -37.318569882152715),148.1599,-37.3186
Victorian Forest Monitoring Program,S_k_752,POINT (148.15542616808878 -37.210550183347664),148.1554,-37.2106
Victorian Forest Monitoring Program,S_k_753,POINT (148.15242674644858 -37.138506123797626),148.1524,-37.1385
Victorian Forest Monitoring Program,S_k_754,POINT (148.14127610795202 -36.868322406632274),148.1413,-36.8683
Victorian Forest Monitoring Program,S_k_755,POINT (148.1287981634949 -36.5620615529173),148.1288,-36.5621
Victorian Forest Monitoring Program,S_k_756,POINT (148.2207343981573 -37.154659754113865),148.2207,-37.1547
Victorian Forest Monitoring Program,S_k_757,POINT (148.21380151349473 -36.99260047487433),148.2138,-36.9926
Victorian Forest Monitoring Program,S_k_758,POINT (148.36945131442866 -36.95212043535766),148.3695,-36.9521
Victorian Forest Monitoring Program,S_k_759,POINT (148.489953593385 -37.12900200696634),148.49,-37.129
Victorian Forest Monitoring Program,S_k_760,POINT (148.60676803972856 -37.215760259115456),148.6068,-37.2158
Victorian Forest Monitoring Program,S_k_761,POINT (148.60249618531702 -37.125613948925256),148.6025,-37.1256
Victorian Forest Monitoring Program,S_k_762,POINT (148.71701276915783 -37.62714882872346),148.717,-37.6271
Victorian Forest Monitoring Program,S_k_763,POINT (148.72383674472127 -37.30232352984889),148.7238,-37.3023
Victorian Forest Monitoring Program,S_k_764,POINT (148.8591559214033 -37.74898357224672),148.8592,-37.749
Victorian Forest Monitoring Program,S_k_765,POINT (148.84731088572713 -37.51484206634544),148.8473,-37.5148
Victorian Forest Monitoring Program,S_k_766,POINT (149.29220604322592 -37.37347821333697),149.2922,-37.3735
SouthWestForests-DON019FireInv,S_k_767,POINT (116.20806351668001 -34.7310349504765),116.2081,-34.731
SouthWestForests-DON019FireInv,S_k_768,POINT (116.20813919677374 -34.72653569012541),116.2081,-34.7265
SouthWestForests-DON019FireInv,S_k_769,POINT (116.20847302474893 -34.69494030734805),116.2085,-34.6949
SouthWestForests-DON019FireInv,S_k_770,POINT (116.21358960056149 -34.72650787606396),116.2136,-34.7265
SouthWestForests-DON019FireInv,S_k_771,POINT (116.21360994105466 -34.72205333739729),116.2136,-34.7221
SouthWestForests-DON019FireInv,S_k_772,POINT (116.21897592244807 -34.73561418009833),116.219,-34.7356
SouthWestForests-DON019FireInv,S_k_773,POINT (116.21928831672962 -34.72678800650215),116.2193,-34.7268
SouthWestForests-DON019FireInv,S_k_774,POINT (116.21903855101138 -34.72198906646577),116.219,-34.722
SouthWestForests-DON019FireInv,S_k_775,POINT (116.22457426133509 -34.72215067434044),116.2246,-34.7222
SouthWestForests-DON019FireInv,S_k_776,POINT (116.22450773880139 -34.71757834529534),116.2245,-34.7176
SouthWestForests-DON019FireInv,S_k_777,POINT (116.23537105557061 -34.73570017279822),116.2354,-34.7357
SouthWestForests-DON019FireInv,S_k_778,POINT (116.2354125818354 -34.73119165665296),116.2354,-34.7312
SouthWestForests-DON019FireInv,S_k_779,POINT (116.23539957423029 -34.7266737773313),116.2354,-34.7267
SouthWestForests-DON019FireInv,S_k_780,POINT (116.23553541350385 -34.7131031817718),116.2355,-34.7131
SouthWestForests-DON019FireInv,S_k_781,POINT (116.23559840243792 -34.70863085398628),116.2356,-34.7086
SouthWestForests-DON019FireInv,S_k_782,POINT (116.23570646402919 -34.70400550647077),116.2357,-34.704
SouthWestForests-DON019FireInv,S_k_783,POINT (116.24140868017066 -34.71331122642658),116.2414,-34.7133
SouthWestForests-DON019FireInv,S_k_784,POINT (116.2410686605751 -34.708692102511016),116.2411,-34.7087
SouthWestForests-DON019FireInv,S_k_785,POINT (116.24108261280354 -34.70596887545195),116.2411,-34.706
SouthWestForests-DON019FireInv,S_k_786,POINT (116.24649048046874 -34.717707274061105),116.2465,-34.7177
SouthWestForests-DON019FireInv,S_k_787,POINT (116.24651791073127 -34.70866279956175),116.2465,-34.7087
SouthWestForests-DON019FireInv,S_k_788,POINT (116.25187358418007 -34.7178125902542),116.2519,-34.7178
SouthWestForests-DON019FireInv,S_k_789,POINT (116.25193635163043 -34.71326810936034),116.2519,-34.7133
SouthWestForests-DON019FireInv,S_k_790,POINT (116.25198762008627 -34.70878667766926),116.252,-34.7088
SouthWestForests-DON019FireInv,S_k_791,POINT (116.25584636366213 -34.679061156999694),116.2558,-34.6791
SouthWestForests-DON019FireInv,S_k_792,POINT (116.273876852188 -34.70436519414923),116.2739,-34.7044
SouthWestForests-DON019FireInv,S_k_793,POINT (116.31209915578033 -34.70905972360616),116.3121,-34.7091
SouthWestForests-DON019FireInv,S_k_794,POINT (116.31738400331719 -34.70910748128917),116.3174,-34.7091
SouthWestForests-DON019FireInv,S_k_795,POINT (116.3339082214267 -34.70472617607353),116.3339,-34.7047
SouthWestForests-DON019FireInv,S_k_796,POINT (116.44310537534524 -34.69611214725742),116.4431,-34.6961
SouthWestForests-DON019FireInv,S_k_797,POINT (116.46499509939827 -34.696345477480016),116.465,-34.6963
SouthWestForests-DON019FireInv,S_k_798,POINT (116.47043609069642 -34.700914189838734),116.4704,-34.7009
SouthWestForests-DON019FireInv,S_k_799,POINT (116.47046498634477 -34.69637838583556),116.4705,-34.6964
SouthWestForests-DON019FireInv,S_k_800,POINT (116.47034453506625 -34.69129184595328),116.4703,-34.6913
SouthWestForests-DON019FireInv,S_k_801,POINT (116.47578508699237 -34.70977470821162),116.4758,-34.7098
SouthWestForests-DON019FireInv,S_k_802,POINT (116.47558285990569 -34.705481392783454),116.4756,-34.7055
SouthWestForests-DON019FireInv,S_k_803,POINT (116.47593830055091 -34.70106422515317),116.4759,-34.7011
SouthWestForests-DON019FireInv,S_k_804,POINT (116.47591321528247 -34.69638390226276),116.4759,-34.6964
SouthWestForests-DON019FireInv,S_k_805,POINT (116.47595255422496 -34.691875190390476),116.476,-34.6919
SouthWestForests-DON019FireInv,S_k_806,POINT (116.48136133562319 -34.6964072101613),116.4814,-34.6964
SouthWestForests-DON019FireInv,S_k_807,POINT (116.48140049165134 -34.691880458847564),116.4814,-34.6919
SouthWestForests-DON019FireInv,S_k_808,POINT (116.48142844213334 -34.687398745358024),116.4814,-34.6874
SouthWestForests-DON019FireInv,S_k_809,POINT (116.48686936458988 -34.70087628290861),116.4869,-34.7009
SouthWestForests-DON019FireInv,S_k_810,POINT (116.48683124272426 -34.69643938399956),116.4868,-34.6964
SouthWestForests-DON019FireInv,S_k_811,POINT (116.48683740412773 -34.691903472876284),116.4868,-34.6919
SouthWestForests-DON019FireInv,S_k_812,POINT (116.49226275462846 -34.70097101636805),116.4923,-34.701
SouthWestForests-DON019FireInv,S_k_813,POINT (116.49224651158498 -34.696480102452945),116.4922,-34.6965
SouthWestForests-DON019FireInv,S_k_814,POINT (116.4923069651526 -34.69194441590874),116.4923,-34.6919
SouthWestForests-DON019FireInv,S_k_815,POINT (116.49777124246631 -34.696475942587504),116.4978,-34.6965
SouthWestForests-DON019FireInv,S_k_816,POINT (116.50318141408488 -34.701025038532876),116.5032,-34.701
SouthWestForests-Dryad-HPP,S_k_817,POINT (115.8251588530761 -33.457405396607946),115.8252,-33.4574
SouthWestForests-Dryad-HPP,S_k_818,POINT (116.41910141140083 -33.41988682332219),116.4191,-33.4199
SouthWestForests-Dryad-HPP,S_k_819,POINT (116.39140771462971 -33.09124379255903),116.3914,-33.0912
SouthWestForests-Dryad-HPP,S_k_820,POINT (116.33739292643934 -33.14800160748696),116.3374,-33.148
SouthWestForests-Dryad-HPP,S_k_821,POINT (116.3373175806935 -32.926323774554646),116.3373,-32.9263
SouthWestForests-Dryad-HPP,S_k_822,POINT (116.2632869159541 -33.17788298001056),116.2633,-33.1779
SouthWestForests-Dryad-HPP,S_k_823,POINT (116.1178597292552 -32.996992127804525),116.1179,-32.997
SouthWestForests-Dryad-HPP,S_k_824,POINT (116.44847347178317 -33.503496756087344),116.4485,-33.5035
SouthWestForests-Dryad-HPP,S_k_825,POINT (116.1098041834143 -32.97415054653968),116.1098,-32.9742
SouthWestForests-Dryad-HPP,S_k_826,POINT (115.77954465135126 -33.433849219859894),115.7795,-33.4338
SouthWestForests-Dryad-HPP,S_k_827,POINT (116.08110280257748 -33.27677994882863),116.0811,-33.2768
SouthWestForests-Dryad-HPP,S_k_828,POINT (115.4367439913524 -34.06085563510379),115.4367,-34.0609
SouthWestForests-Dryad-HPP,S_k_829,POINT (115.5674961203665 -34.122868161210874),115.5675,-34.1229
SouthWestForests-Dryad-HPP,S_k_830,POINT (115.7532522679936 -33.893057448978794),115.7533,-33.8931
SouthWestForests-Dryad-HPP,S_k_831,POINT (115.60266755523307 -34.219167367565916),115.6027,-34.2192
SouthWestForests-Dryad-HPP,S_k_832,POINT (116.0635771238883 -33.298025326670775),116.0636,-33.298
SouthWestForests-Dryad-HPP,S_k_833,POINT (115.75599424813116 -34.24698831632211),115.756,-34.247
SouthWestForests-Dryad-HPP,S_k_834,POINT (115.61992998307224 -34.31342506163909),115.6199,-34.3134
SouthWestForests-Dryad-HPP,S_k_835,POINT (116.48601089502884 -33.44225308369278),116.486,-33.4423
SouthWestForests-Dryad-HPP,S_k_836,POINT (116.1219966990207 -33.15176564699016),116.122,-33.1518
SouthWestForests-Dryad-HPP,S_k_837,POINT (115.49103770658428 -34.022938643249006),115.491,-34.0229
SouthWestForests-Dryad-HPP,S_k_838,POINT (115.39693199356117 -34.01506567929421),115.3969,-34.0151
SouthWestForests-Dryad-HPP,S_k_839,POINT (116.063250088654 -33.19887113102214),116.0633,-33.1989
SouthWestForests-Dryad-HPP,S_k_840,POINT (115.9944291731841 -32.97188577715605),115.9944,-32.9719
SouthWestForests-Dryad-HPP,S_k_841,POINT (116.08316642828066 -32.95471826252357),116.0832,-32.9547
SouthWestForests-Dryad-HPP,S_k_842,POINT (116.08645843928628 -32.517772995125334),116.0865,-32.5178
SouthWestForests-Dryad-PRP,S_k_843,POINT (115.81903199268108 -34.44085237087334),115.819,-34.4409
SouthWestForests-Dryad-PRP,S_k_844,POINT (116.19987589631678 -34.32616230289892),116.1999,-34.3262
SouthWestForests-Dryad-PRP,S_k_845,POINT (116.21929252839253 -34.31998394705994),116.2193,-34.32
SouthWestForests-Dryad-PRP,S_k_846,POINT (115.80813432879309 -34.12630551102167),115.8081,-34.1263
SouthWestForests-Dryad-PRP,S_k_847,POINT (115.94545220290772 -34.25697093375954),115.9455,-34.257
SouthWestForests-Dryad-PRP,S_k_848,POINT (116.6819786766233 -34.6072594594843),116.682,-34.6073
SouthWestForests-Dryad-PRP,S_k_849,POINT (116.52123317452602 -34.12962338831303),116.5212,-34.1296
SouthWestForests-Dryad-PRP,S_k_850,POINT (116.51770120032705 -34.52039160323711),116.5177,-34.5204
SouthWestForests-Dryad-PRP,S_k_851,POINT (116.76953921150695 -34.614896111669125),116.7695,-34.6149
SouthWestForests-Dryad-PRP,S_k_852,POINT (115.98987848467416 -34.07617040581991),115.9899,-34.0762
SouthWestForests-Dryad-PRP,S_k_853,POINT (116.02297670298883 -34.065796411292055),116.023,-34.0658
SouthWestForests-Dryad-PRP,S_k_854,POINT (115.91693640876167 -34.13524936487293),115.9169,-34.1352
SouthWestForests-Dryad-PRP,S_k_855,POINT (115.9216661679745 -34.06336202423316),115.9217,-34.0634
SouthWestForests-Dryad-PRP,S_k_856,POINT (116.52839872765149 -34.60567132407313),116.5284,-34.6057
SouthWestForests-Dryad-PRP,S_k_857,POINT (116.56460967756574 -34.79303338902332),116.5646,-34.793
SouthWestForests-Dryad-PRP,S_k_858,POINT (116.58935019200119 -34.74823827761475),116.5894,-34.7482
SouthWestForests-Dryad-PRP,S_k_859,POINT (116.07626128377424 -34.47880398069295),116.0763,-34.4788
SouthWestForests-Dryad-PRP,S_k_860,POINT (116.19312704899673 -34.10052587548),116.1931,-34.1005
SouthWestForests-Dryad-PRP,S_k_861,POINT (116.21362618750322 -34.10065881235157),116.2136,-34.1007
SouthWestForests-Dryad-PRP,S_k_862,POINT (116.33397095406495 -34.274911655083294),116.334,-34.2749
