project,site,geom,longitude,latitude
Environmental Plantings,S_k_77,POINT (139.011812 -35.122576),139.0118,-35.1226
Environmental Plantings,S_k_78,POINT (139.833083 -34.960035),139.8331,-34.96
Environmental Plantings,S_k_79,POINT (140.255456 -36.031748),140.2555,-36.0317
Environmental Plantings,S_k_80,POINT (140.256357 -36.021891),140.2564,-36.0219
Environmental Plantings,S_k_81,POINT (139.038795 -35.125468),139.0388,-35.1255
Environmental Plantings,S_k_82,POINT (139.397782 -35.31864),139.3978,-35.3186
Environmental Plantings,S_k_83,POINT (147.3032018 -33.26477018),147.3032,-33.2648
Environmental Plantings,S_k_84,POINT (147.1944294 -33.23256998),147.1944,-33.2326
Environmental Plantings,S_k_85,POINT (148.8421239 -33.70668692),148.8421,-33.7067
Environmental Plantings,S_k_86,POINT (148.825751 -33.67482742),148.8258,-33.6748
Environmental Plantings,S_k_87,POINT (148.8444313 -33.66117687),148.8444,-33.6612
Environmental Plantings,S_k_88,POINT (148.8829895 -33.92381187),148.883,-33.9238
Environmental Plantings,S_k_89,POINT (148.4866051 -33.99911554),148.4866,-33.9991
Environmental Plantings,S_k_90,POINT (148.4831649 -33.9967854),148.4832,-33.9968
Environmental Plantings,S_k_91,POINT (148.4728695 -34.03320565),148.4729,-34.0332
Environmental Plantings,S_k_92,POINT (148.8445432 -33.65984961),148.8445,-33.6598
Environmental Plantings,S_k_93,POINT (148.9025113 -33.69342649),148.9025,-33.6934
Environmental Plantings,S_k_94,POINT (149.3783007 -34.4587361),149.3783,-34.4587
Environmental Plantings,S_k_95,POINT (149.3328796 -34.46924038),149.3329,-34.4692
Environmental Plantings,S_k_96,POINT (149.6392632 -34.46161702),149.6393,-34.4616
Environmental Plantings,S_k_97,POINT (149.6229649 -34.4614452),149.623,-34.4614
Environmental Plantings,S_k_98,POINT (149.5729048 -34.47225494),149.5729,-34.4723
Environmental Plantings,S_k_99,POINT (139.06249 -34.73228),139.0625,-34.7323
Environmental Plantings,S_k_100,POINT (138.98783 -34.92727),138.9878,-34.9273
Environmental Plantings,S_k_101,POINT (139.06519 -34.82511),139.0652,-34.8251
Environmental Plantings,S_k_102,POINT (138.99283 -34.76633),138.9928,-34.7663
Environmental Plantings,S_k_103,POINT (139.11312 -34.53913),139.1131,-34.5391
Environmental Plantings,S_k_104,POINT (139.00832 -34.65323),139.0083,-34.6532
Environmental Plantings,S_k_105,POINT (138.95927 -34.96771),138.9593,-34.9677
Environmental Plantings,S_k_106,POINT (138.90176 -34.72572),138.9018,-34.7257
Environmental Plantings,S_k_107,POINT (147.9749559 -33.66371767),147.975,-33.6637
Environmental Plantings,S_k_108,POINT (148.2598118 -32.95950501),148.2598,-32.9595
Environmental Plantings,S_k_109,POINT (148.0003666 -33.02088715),148.0004,-33.0209
Environmental Plantings,S_k_110,POINT (147.9304003 -33.54733677),147.9304,-33.5473
Environmental Plantings,S_k_111,POINT (147.9674096 -33.00111394),147.9674,-33.0011
Environmental Plantings,S_k_112,POINT (147.9310081 -33.54375161),147.931,-33.5438
Environmental Plantings,S_k_113,POINT (147.5253846 -33.50680327),147.5254,-33.5068
Environmental Plantings,S_k_114,POINT (147.5329629 -33.50832225),147.533,-33.5083
Environmental Plantings,S_k_115,POINT (148.0123755 -32.9192359),148.0124,-32.9192
Environmental Plantings,S_k_116,POINT (148.0357605 -32.9336114),148.0358,-32.9336
Environmental Plantings,S_k_117,POINT (148.0963996 -32.93994008),148.0964,-32.9399
Environmental Plantings,S_k_118,POINT (148.2604894 -32.96955495),148.2605,-32.9696
Environmental Plantings,S_k_119,POINT (147.9769718 -33.01111462),147.977,-33.0111
Environmental Plantings,S_k_120,POINT (145.745133 -33.803192),145.7451,-33.8032
Environmental Plantings,S_k_121,POINT (145.73889 -33.797222),145.7389,-33.7972
Environmental Plantings,S_k_122,POINT (147.9467869 -34.08599969),147.9468,-34.086
Environmental Plantings,S_k_123,POINT (148.384393 -33.97422858),148.3844,-33.9742
Environmental Plantings,S_k_124,POINT (148.3838814 -33.97739062),148.3839,-33.9774
Environmental Plantings,S_k_125,POINT (148.418379 -34.05419962),148.4184,-34.0542
Environmental Plantings,S_k_126,POINT (148.4380966 -34.00152291),148.4381,-34.0015
Environmental Plantings,S_k_127,POINT (148.3981209 -34.06158288),148.3981,-34.0616
Environmental Plantings,S_k_128,POINT (148.394594 -34.06191152),148.3946,-34.0619
Environmental Plantings,S_k_129,POINT (147.9661435 -34.08678691),147.9661,-34.0868
Environmental Plantings,S_k_130,POINT (141.814775 -36.244703),141.8148,-36.2447
Environmental Plantings,S_k_131,POINT (144.384672 -35.979972),144.3847,-35.98
Environmental Plantings,S_k_132,POINT (144.383275 -35.982825),144.3833,-35.9828
Environmental Plantings,S_k_133,POINT (144.7120376 -36.7875865),144.712,-36.7876
Environmental Plantings,S_k_134,POINT (144.1813029 -36.84908189),144.1813,-36.8491
Environmental Plantings,S_k_135,POINT (144.7097 -36.891),144.7097,-36.891
Environmental Plantings,S_k_136,POINT (144.7257 -37.0188),144.7257,-37.0188
Environmental Plantings,S_k_137,POINT (144.9831 -36.7789),144.9831,-36.7789
Environmental Plantings,S_k_138,POINT (144.7432 -36.8567),144.7432,-36.8567
Environmental Plantings,S_k_139,POINT (144.7241223 -37.02117121),144.7241,-37.0212
Environmental Plantings,S_k_140,POINT (144.7237633 -37.02491348),144.7238,-37.0249
Environmental Plantings,S_k_141,POINT (144.430406 -36.395764),144.4304,-36.3958
Environmental Plantings,S_k_142,POINT (141.638008 -37.898705),141.638,-37.8987
Environmental Plantings,S_k_143,POINT (117.3147 -33.732),117.3147,-33.732
Environmental Plantings,S_k_144,POINT (117.325 -33.73),117.325,-33.73
Environmental Plantings,S_k_145,POINT (117.32 -33.729),117.32,-33.729
Environmental Plantings,S_k_146,POINT (118.182 -34.2809),118.182,-34.2809
Environmental Plantings,S_k_147,POINT (139.63166 -35.337744),139.6317,-35.3377
Environmental Plantings,S_k_148,POINT (139.635072 -35.333175),139.6351,-35.3332
Environmental Plantings,S_k_149,POINT (139.6333 -35.32929),139.6333,-35.3293
Environmental Plantings,S_k_150,POINT (151.297744 -24.212403),151.2977,-24.2124
Environmental Plantings,S_k_151,POINT (148.5837 -33.9461),148.5837,-33.9461
Environmental Plantings,S_k_152,POINT (148.8745 -34.1588),148.8745,-34.1588
Environmental Plantings,S_k_153,POINT (148.0887 -33.8772),148.0887,-33.8772
Environmental Plantings,S_k_154,POINT (148.9773 -34.1359),148.9773,-34.1359
Environmental Plantings,S_k_155,POINT (149.0487 -34.2333),149.0487,-34.2333
Environmental Plantings,S_k_156,POINT (148.9204 -34.364),148.9204,-34.364
Environmental Plantings,S_k_157,POINT (149.2611 -34.8636),149.2611,-34.8636
Environmental Plantings,S_k_158,POINT (149.2325 -35.0485),149.2325,-35.0485
Environmental Plantings,S_k_159,POINT (138.20177 -34.23619),138.2018,-34.2362
Environmental Plantings,S_k_160,POINT (138.34836 -34.18496),138.3484,-34.185
Environmental Plantings,S_k_161,POINT (138.50598 -33.84587),138.506,-33.8459
Environmental Plantings,S_k_162,POINT (138.3625 -33.78966),138.3625,-33.7897
Environmental Plantings,S_k_163,POINT (138.3996167 -33.72511667),138.3996,-33.7251
Environmental Plantings,S_k_164,POINT (138.21614 -34.24834),138.2161,-34.2483
Environmental Plantings,S_k_165,POINT (138.6486 -33.033),138.6486,-33.033
Environmental Plantings,S_k_166,POINT (138.089613 -33.381952),138.0896,-33.382
Environmental Plantings,S_k_167,POINT (138.41355 -33.0548),138.4135,-33.0548
Environmental Plantings,S_k_168,POINT (137.76443 -34.78895),137.7644,-34.7889
Environmental Plantings,S_k_169,POINT (137.63008 -34.82796),137.6301,-34.828
Environmental Plantings,S_k_170,POINT (138.95749 -33.99408),138.9575,-33.9941
Environmental Plantings,S_k_171,POINT (138.60336 -33.79067),138.6034,-33.7907
Environmental Plantings,S_k_172,POINT (138.60057 -34.38933),138.6006,-34.3893
Environmental Plantings,S_k_173,POINT (138.96907 -33.98174),138.9691,-33.9817
Environmental Plantings,S_k_174,POINT (138.8887 -33.23787),138.8887,-33.2379
Environmental Plantings,S_k_175,POINT (138.94648 -33.92928),138.9465,-33.9293
Environmental Plantings,S_k_176,POINT (146.8513764 -34.17413524),146.8514,-34.1741
